Date,Max T,Minimum Temp,Average Temperature,Precipitation,Snowfall,Snow Depth,Sky
1/1/18,5,0,2.5,0.04,1,3,cloudy
1/2/18,13,1,7,0.03,1.5,4,partly cloudy
1/3/18,19,-2,13,0,0,0,sunny
1/4/18,22,1,11.5,0,0,3,partly sunny
1/5/18,18,-2,8,0.09,1.2,4,cloudy
1/6/18,2,-3,-0.5,0,0,4,party sunny
1/7/18,2,-3,-0.5,0,0,4,partly sunny
1/8/18,24,-3,10.5,0,0,4,sunny
1/9/18,37,23,30,0,0,4,sunny
1/10/18,33,15,24,0,0,4,sunny
1/11/18,41,18,29.5,0,0,3,sunny
1/12/18,57,40,48.5,0.76,0,0,partly cloudy
1/13/18,62,12,37,0.94,6,6,couldy
1/14/18,12,4,8,0.06,0.9,6,partly cloudy
1/15/18,12,-9,1.5,0,0,6,partly sunny
1/16/18,22,2,6.5,0.05,0.5,6,cloudy
1/17/18,26,15,20.5,0.13,1.6,8,cloudy
1/18/18,20,-1,9.5,0,0,0,sunny
1/19/18,22,5,31,0,0,7,sunny
1/20/18,37,8,22.5,0,0,6,sunny
1/21/18,45,16,30.5,0,0,4,partly sunny
1/22/18,36,19,30.5,0.02,0,3,partly cloudy
1/23/18,46,35,40.5,0.01,0,0, partly cloudy
1/24/18,50,24,37,0.1,0,0,cloudy
1/25/18,25,16,20.5,0.02,1,1,cloudy
1/26/18,24,13,18.5,0,0,0,sunny
1/27/18,38,13,25.5,0,0,0,sunny
1/28/18,51,43,40.5,0.02,0,0,party sunny
1/29/18,46,21,33.5,0,0,0,sunny
1/30/18,37,19,28,0.05,0.5,1,cloudy
1/31/18,19,-2,8.5,0.06,0.8,1,cloudy
